x_max,signal,k,gamma,peak_omega,abs_gap,rel_gap
3000000000,psi_norm,3,25.01085758,25.060789303675577,0.04993172367557719,0.0019964019032880035
3000000000,psi_norm,4,30.424876126,30.376714307485543,0.04816181851445833,0.0015829750075235633
3000000000,psi_norm,5,32.935061588,33.03467680939053,0.09961522139052903,0.003024594963163031
3000000000,psi_norm,6,37.586178159,37.591183955513365,0.005005796513366079,0.00013318184392651378
3000000000,psi_norm,7,40.918719012,41.00856431510549,0.08984530310549133,0.002195701753985576
3000000000,psi_norm,8,43.327073281,43.28681788816691,0.04025539283308888,0.0009291048248749788
3000000000,psi_norm,9,48.005150881,47.843325034289734,0.1618258467102649,0.0033710100633037297
3000000000,psi_norm,10,49.773832478,49.741869678507584,0.03196279949241898,0.0006421607077684145
5000000000,theta_norm,1,14.134725141,13.997159173403896,0.13756596759610495,0.009732482678214461
5000000000,theta_norm,2,21.022039639,20.995738760105844,0.026300878894154778,0.0012511097565129454
5000000000,theta_norm,3,25.01085758,25.047547994512236,0.0366904145122362,0.0014669794666127638
5000000000,theta_norm,4,30.424876126,30.572742405066407,0.14786627906640604,0.004860045393579922
5000000000,theta_norm,5,32.935061588,32.78282016928807,0.15224141871193098,0.004622472567878866
5000000000,theta_norm,6,37.586178159,37.57132199176836,0.014856167231641848,0.000395256127632773
5000000000,theta_norm,7,40.918719012,40.886438638100856,0.03228037389914107,0.0007888901382683654
5000000000,theta_norm,8,43.327073281,43.46486269635947,0.13778941535947098,0.0031802151616803316
5000000000,theta_norm,9,48.005150881,47.885018224802806,0.12013265619719249,0.0025024951279705256
5000000000,theta_norm,10,49.773832478,49.72674969498753,0.047082783012470486,0.0009459344532748415
5000000000,psi_norm,1,14.134725141,13.997159173403896,0.13756596759610495,0.009732482678214461
5000000000,psi_norm,2,21.022039639,20.995738760105844,0.026300878894154778,0.0012511097565129454
5000000000,psi_norm,3,25.01085758,25.047547994512236,0.0366904145122362,0.0014669794666127638
5000000000,psi_norm,4,30.424876126,30.572742405066407,0.14786627906640604,0.004860045393579922
5000000000,psi_norm,5,32.935061588,32.78282016928807,0.15224141871193098,0.004622472567878866
5000000000,psi_norm,6,37.586178159,37.57132199176836,0.014856167231641848,0.000395256127632773
5000000000,psi_norm,7,40.918719012,40.886438638100856,0.03228037389914107,0.0007888901382683654
5000000000,psi_norm,8,43.327073281,43.46486269635947,0.13778941535947098,0.0031802151616803316
5000000000,psi_norm,9,48.005150881,47.885018224802806,0.12013265619719249,0.0025024951279705256
5000000000,psi_norm,10,49.773832478,49.72674969498753,0.047082783012470486,0.0009459344532748415
10000000000,theta_norm,1,14.134725141,14.157303138096799,0.022577997096798086,0.0015973424931558834
10000000000,theta_norm,2,21.022039639,20.88202212869278,0.14001751030722076,0.006660510241235625
10000000000,theta_norm,3,25.01085758,25.12921307012182,0.11835549012182156,0.004732164410726358
10000000000,theta_norm,4,30.424876126,30.438201746908117,0.013325620908116065,0.0004379843931962132
10000000000,theta_norm,5,32.935061588,32.915729796075055,0.01933179192494805,0.0005869669280348834
10000000000,theta_norm,6,37.586178159,37.51685331595652,0.06932484304348208,0.0018444238398013942
10000000000,theta_norm,7,40.918719012,41.05617910048072,0.13746008848072222,0.0033593448621988898
10000000000,theta_norm,8,43.327073281,43.17977457119524,0.14729870980475823,0.0033996921243547827
10000000000,theta_norm,9,48.005150881,48.134830669529116,0.129679788529117,0.0027013723766972485
10000000000,theta_norm,10,49.773832478,49.90449356179122,0.13066108379121744,0.002625095904539188
10000000000,psi_norm,1,14.134725141,14.157303138096799,0.022577997096798086,0.0015973424931558834
10000000000,psi_norm,2,21.022039639,20.88202212869278,0.14001751030722076,0.006660510241235625
10000000000,psi_norm,3,25.01085758,25.12921307012182,0.11835549012182156,0.004732164410726358
10000000000,psi_norm,4,30.424876126,30.438201746908117,0.013325620908116065,0.0004379843931962132
10000000000,psi_norm,5,32.935061588,32.915729796075055,0.01933179192494805,0.0005869669280348834
10000000000,psi_norm,6,37.586178159,37.51685331595652,0.06932484304348208,0.0018444238398013942
10000000000,psi_norm,7,40.918719012,41.05617910048072,0.13746008848072222,0.0033593448621988898
10000000000,psi_norm,8,43.327073281,43.17977457119524,0.14729870980475823,0.0033996921243547827
10000000000,psi_norm,9,48.005150881,48.134830669529116,0.129679788529117,0.0027013723766972485
10000000000,psi_norm,10,49.773832478,49.90449356179122,0.13066108379121744,0.002625095904539188
30000000000,theta_norm,1,14.134725141,13.99955965933372,0.13516548166628084,0.009562653699873656
30000000000,theta_norm,2,21.022039639,20.999339489000583,0.02270014999941594,0.0010798262389964636
30000000000,theta_norm,3,25.01085758,24.999213677381643,0.01164390261835635,0.0004655539131799874
30000000000,theta_norm,4,30.424876126,30.332379261889727,0.09249686411027369,0.003040172250076286
30000000000,theta_norm,5,32.935061588,32.99896205414377,0.06390046614376388,0.0019401957386060034
30000000000,theta_norm,6,37.586178159,37.66548194058834,0.07930378158834372,0.002109918738022968
30000000000,theta_norm,7,40.918719012,40.998710430905895,0.07999141890589812,0.001954885706036875
30000000000,theta_norm,8,43.327073281,43.33197037412818,0.004897093128185759,0.00011302616949050321
30000000000,theta_norm,9,48.005150881,47.99849026057276,0.00666062042724036,0.00013874803651281874
30000000000,theta_norm,10,49.773832478,49.66510450573153,0.10872797226847553,0.0021844404349721956
30000000000,psi_norm,1,14.134725141,13.99955965933372,0.13516548166628084,0.009562653699873656
30000000000,psi_norm,2,21.022039639,20.999339489000583,0.02270014999941594,0.0010798262389964636
30000000000,psi_norm,3,25.01085758,24.999213677381643,0.01164390261835635,0.0004655539131799874
30000000000,psi_norm,4,30.424876126,30.332379261889727,0.09249686411027369,0.003040172250076286
30000000000,psi_norm,5,32.935061588,32.99896205414377,0.06390046614376388,0.0019401957386060034
30000000000,psi_norm,6,37.586178159,37.66548194058834,0.07930378158834372,0.002109918738022968
30000000000,psi_norm,7,40.918719012,40.998710430905895,0.07999141890589812,0.001954885706036875
30000000000,psi_norm,8,43.327073281,43.33197037412818,0.004897093128185759,0.00011302616949050321
30000000000,psi_norm,9,48.005150881,47.99849026057276,0.00666062042724036,0.00013874803651281874
30000000000,psi_norm,10,49.773832478,49.66510450573153,0.10872797226847553,0.0021844404349721956
50000000000,theta_norm,1,14.134725141,14.279525781047203,0.14480064004720283,0.010244319475812495
