x,t,theta_norm,psi_norm
358944870,19.698679370495388,-1.1117555637385856,-0.07447440202670913
358986199,19.69879450550679,-1.1034296125214798,-0.06620816205642889
359027534,19.69890964051819,-1.0756554447010427,-0.03797389227571144
359068873,19.69902477552959,-1.0990218134227574,-0.06139999598930288
359110217,19.69913991054099,-1.0893720588331988,-0.05180997329987188
359151565,19.69925504555239,-1.1059083522829187,-0.06840599411281746
359192918,19.69937018056379,-1.1081421193443184,-0.07069948544464652
359234276,19.699485315575192,-1.0960757765437605,-0.058692863820949105
359275639,19.69960045058659,-1.0894581962157697,-0.05213500157547746
359317007,19.699715585597993,-1.117387466709299,-0.08012398705641377
359358379,19.69983072060939,-1.1268065128952462,-0.0896027436907517
359399756,19.69994585562079,-1.1312799005155887,-0.09413583866332946
359441138,19.700060990632192,-1.1484728125954045,-0.11138845499845497
359482525,19.70017612564359,-1.127470497296882,-0.08992632496169714
359523916,19.700291260654993,-1.1243311673956013,-0.08684672158350945
359565312,19.70040639566639,-1.1307936005872892,-0.09336887819800327
359606713,19.700521530677793,-1.1427005818910316,-0.10533557982349583
359648119,19.700636665689192,-1.1725171034101343,-0.1352118185625247
359689530,19.700751800700594,-1.242054319281005,-0.20480874855073025
359730945,19.700866935711993,-1.2203754762557832,-0.1831896150978715
359772365,19.700982070723395,-1.2311481832844136,-0.1940220285952375
359813790,19.701097205734794,-1.2234757430819891,-0.18640929175715565
359855219,19.701212340746196,-1.1786144550568078,-0.14160770255029093
359896653,19.701327475757594,-1.188010725138764,-0.15106366834513674
359938093,19.701442610768996,-1.2091322536159006,-0.17224489086934078
359979536,19.701557745780395,-1.2179361271092268,-0.18058925638396173
360020985,19.701672880791797,-1.2353491848385258,-0.19806203039350806
360062438,19.701788015803196,-1.2560731282155162,-0.2188456855003623
360103897,19.701903150814594,-1.3227803400123557,-0.2856126073568557
360145360,19.702018285825996,-1.3512657780590291,-0.3141577509117708
360186827,19.702133420837395,-1.396556067335303,-0.3595077411448585
360228300,19.702248555848797,-1.3362618265095092,-0.298754166207381
360269777,19.702363690860196,-1.4214940900931277,-0.3840461544010115
360311259,19.702478825871598,-1.4280827066750152,-0.39069449247773524
360352746,19.702593960882997,-1.4484140497361888,-0.41108555391780843
360394238,19.7027090958944,-1.4907886193937694,-0.4535198388375917
360435734,19.702824230905797,-1.5001470246981539,-0.46293795484789535
360477235,19.7029393659172,-1.477584808449239,-0.4404354461871808
360518741,19.703054500928598,-1.484331038006559,-0.4472413802142228
360560252,19.70316963594,-1.4508590000890895,-0.41382904364723877
360601767,19.7032847709514,-1.419663692379821,-0.38269343273062867
360643288,19.7033999059628,-1.4468767762385868,-0.40996621169938197
360684813,19.7035150409742,-1.4535351668927678,-0.4166842929047053
360726342,19.7036301759856,-1.479064238438098,-0.4422730504423206
360767877,19.703745310997,-1.463398869036074,-0.4266673653473931
360809416,19.7038604460084,-1.4365226101193398,-0.399850786177883
360850961,19.7039755810198,-1.417213057647071,-0.3806009117656427
360892510,19.7040907160312,-1.3804708756224955,-0.3439184032402099
360934063,19.7042058510426,-1.3957882731151845,-0.3592954696711452
360975622,19.704320986054,-1.4062213495840128,-0.3697882133885134
361017185,19.704436121065402,-1.3774432602440365,-0.3410697867351703
361058753,19.7045512560768,-1.3727696109423173,-0.3359372998749359
361100326,19.704666391088203,-1.3921965359086144,-0.35542391112129
361141904,19.7047815260996,-1.392170777060473,-0.35545783542332415
361183486,19.704896661111004,-1.4141161207795703,-0.37746285772688504
361225074,19.705011796122403,-1.410442500040609,-0.37384891387632907
361266666,19.705126931133805,-1.3997098154602783,-0.3631759016176862
361308263,19.705242066145203,-1.398558680402366,-0.36208443574907145
361349864,19.705357201156605,-1.4100446580675023,-0.373111767672702
361391471,19.705472336168004,-1.3948814713882174,-0.3580082737533284
361433082,19.705587471179406,-1.3985748340722535,-0.36176132462676086
361474698,19.705702606190805,-1.3745336771352332,-0.33777985274267824
361516319,19.705817741202207,-1.3880558459639254,-0.3508435013955416
361557944,19.705932876213605,-1.396592382340105,-0.3594397449462563
361599575,19.706048011225008,-1.389886213479096,-0.35279328155404144
361641210,19.706163146236406,-1.32534867809165,-0.28831544706058365
361682850,19.706278281247805,-1.3418911863107703,-0.3049176530324219
361724494,19.706393416259207,-1.3493041618460022,-0.31239032174506237
361766144,19.706508551270606,-1.3062509226336598,-0.2693967740009063
361807798,19.706623686282008,-1.3255616330250803,-0.2887671712842077
361849457,19.706738821293406,-1.3482282581449327,-0.3114934801521833
361891121,19.70685395630481,-1.3877171363217018,-0.3510420389325728
361932790,19.706969091316207,-1.4398820937880894,-0.40326667385733456
361974464,19.70708422632761,-1.4218560516612049,-0.38530030604283416
362016142,19.707199361339008,-1.4102438576447405,-0.3737477817604603
362057825,19.70731449635041,-1.41545429268527,-0.3790178833880994
362099513,19.70742963136181,-1.375345283358775,-0.3389685375009905
362141206,19.70754476637321,-1.3551670397781095,-0.31884995421124646
362182903,19.70765990138461,-1.3828235032927625,-0.3460482987078326
362224606,19.70777503639601,-1.3476143864985761,-0.3108988657122801
362266313,19.70789017140741,-1.3105356433170365,-0.2738798017463204
